
Selection
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,Set 1,ID,
3.60021,,Spot,Selected Surfaces - W2,1,ibranched,791,
2.67975,,Spot,Selected Surfaces - W2,1,ibranched,793,
2.42334,,Spot,Selected Surfaces - W2,1,ibranched,796,
4.94344,,Spot,Selected Surfaces - W2,1,ibranched,800,
1.52964,,Spot,Selected Surfaces - W2,1,ibranched,802,
4.08859,,Spot,Selected Surfaces - W2,1,ibranched,803,
5.57285,,Spot,Selected Surfaces - W2,1,ibranched,804,
4.67541,,Spot,Selected Surfaces - W2,1,ibranched,805,
2.02534,,Spot,Selected Surfaces - W2,1,ibranched,806,
2.87093,,Spot,Selected Surfaces - W2,1,ibranched,807,
1.76127,,Spot,Selected Surfaces - W2,1,ibranched,809,
2.00459,,Spot,Selected Surfaces - W2,1,ibranched,810,
2.30401,,Spot,Selected Surfaces - W2,1,ibranched,811,
3.41308,,Spot,Selected Surfaces - W2,1,ibranched,812,
4.46942,,Spot,Selected Surfaces - W2,1,ibranched,814,
4.08856,,Spot,Selected Surfaces - W2,1,ibranched,815,
3.16968,,Spot,Selected Surfaces - W2,1,ibranched,816,
3.04204,,Spot,Selected Surfaces - W2,1,ibranched,818,
4.67189,,Spot,Selected Surfaces - W2,1,ibranched,823,
2.47406,,Spot,Selected Surfaces - W2,1,ibranched,824,
3.10108,,Spot,Selected Surfaces - W2,1,ibranched,827,
2.94902,,Spot,Selected Surfaces - W2,1,ibranched,828,
3.4289,,Spot,Selected Surfaces - W2,1,ibranched,829,
2.84003,,Spot,Selected Surfaces - W2,1,ibranched,830,
2.39235,,Spot,Selected Surfaces - W2,1,ibranched,833,
0.92826,,Spot,Selected Surfaces - W2,1,ibranched,835,
5.38409,,Spot,Selected Surfaces - W2,1,ibranched,836,
2,,Spot,Selected Surfaces - W2,1,ibranched,837,
4.7847,,Spot,Selected Surfaces - W2,1,ibranched,838,
2.59949,,Spot,Selected Surfaces - W2,1,ibranched,839,
3.04912,,Spot,Selected Surfaces - W2,1,ibranched,840,
2.304,,Spot,Selected Surfaces - W2,1,ibranched,842,
2.80951,,Spot,Selected Surfaces - W2,1,ibranched,844,
1.70644,,Spot,Selected Surfaces - W2,1,ibranched,845,
1.43934,,Spot,Selected Surfaces - W2,1,ibranched,846,
3.74135,,Spot,Selected Surfaces - W2,1,ibranched,848,
1.16481,,Spot,Selected Surfaces - W2,1,ibranched,849,
